RoundNumber,Country,Location,EventName,Session1,Session2,Session3,Session4,Session5,Year,ID,Laps
14.0,Italy,Monza,Italian Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2021,1065,53
15.0,Russia,Sochi,Russian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1066,53
16.0,Turkey,Istanbul,Turkish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1067,58
17.0,United States,Austin,United States Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1069,56
18.0,Mexico,Mexico City,Mexico City Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1070,71
19.0,Brazil,São Paulo,São Paulo Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2021,1071,71
20.0,Qatar,Lusail,Qatar Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1051,57
21.0,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1072,50
22.0,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1073,58
1.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1074,57
2.0,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1075,50
3.0,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1076,58
4.0,Italy,Imola,Emilia Romagna Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2022,1077,63
5.0,United States,Miami,Miami Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1078,57
6.0,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1079,66
7.0,Monaco,Monaco,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1080,64
8.0,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1081,51
9.0,Canada,Montréal,Canadian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1082,70
10.0,Great Britain,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1083,52
11.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2022,1084,71
12.0,France,Le Castellet,French Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1085,53
13.0,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1086,70
14.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1087,44
15.0,Netherlands,Zandvoort,Dutch Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1088,72
16.0,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1089,53
17.0,Singapore,Marina Bay,Singapore Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1091,59
